age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
56,Male,Unemployed,4.180939776,Facebook,61,6.753558406,8.040463955,7.291555269,4,5.116545502,0.41910243,8,FALSE,FALSE,4,11,21.92707244,6.336688286
46,Male,Health,3.249602954,Twitter,59,9.16929612,5.063368162,5.165092998,7,5.103896757,0.671519185,7,TRUE,TRUE,2,25,0,3.412427256
32,Male,Finance,,Twitter,57,7.910952034,3.861762461,3.474053166,4,8.583221815,0.624377616,0,TRUE,FALSE,3,17,10.32204427,2.474943628
60,Female,Unemployed,,Facebook,59,6.355027219,2.916330949,1.774869174,6,6.05298418,1.204540403,1,FALSE,FALSE,0,4,23.87661563,1.733670442
25,Male,IT,,Telegram,66,6.21409629,8.868752637,,7,5.405706477,1.876253693,1,FALSE,TRUE,1,30,10.65351872,9.693059763
38,Male,Finance,1.512568401,Twitter,50,6.429312046,,4.081025619,5,5.515250797,1.518611959,5,FALSE,TRUE,5,2,0,4.568728215
56,Female,Unemployed,4.381069807,TikTok,60,3.902308837,6.420989452,5.976408249,7,7.549848704,2.252623658,4,FALSE,FALSE,4,20,24.0849051,5.501373198
36,Female,Education,4.089167777,Twitter,49,6.560467435,2.681829764,2.446926573,4,6.325506939,0.747997641,2,FALSE,FALSE,4,29,8.419648395,3.444376346
40,Female,Education,4.097400935,Instagram,57,5.839590149,3.219021843,3.004240078,4,,0,10,FALSE,TRUE,2,10,0,1.960130816
28,Other,IT,7.595577376,Twitter,64,5.88893624,,,3,6.761952163,1.449841139,10,FALSE,FALSE,1,18,6.95937686,6.808102455
28,Male,IT,3.341558658,Twitter,57,11.02203461,8.94063625,7.983252122,4,3.952547057,1.02863957,5,TRUE,TRUE,1,3,13.51451495,9.414636501
41,Female,Finance,2.20006057,Twitter,59,10.14773195,7.69654603,,9,6.091282606,0.889256295,8,TRUE,FALSE,4,30,8.732449111,6.028925755
53,Male,Student,2.715759672,TikTok,77,5.637153977,8.575504249,7.715133471,,4.559258063,0.599292993,5,FALSE,FALSE,0,15,4.956755157,8.770683447
57,Male,Education,0,Twitter,60,6.822441856,8.85075821,7.930675033,5,6.764830218,1.341069887,3,FALSE,FALSE,4,27,18.0526562,7.563357572
41,Male,Education,3.773326308,TikTok,65,8.636782458,7.511934181,6.77392272,10,7.921161119,1.263446216,6,TRUE,FALSE,4,20,12.76797387,6.84916
20,Male,Student,5.826311297,TikTok,67,4.718497073,2.645825191,2.861170887,5,8.301198297,1.087081443,9,FALSE,FALSE,4,0,8.095880944,2.179691634
39,Male,Finance,2.305803019,Twitter,64,7.05082106,6.983516467,6.629586653,9,4.847608146,0.070189182,2,FALSE,FALSE,3,9,12.11061993,
19,Male,Health,5.621219699,Twitter,52,8.201916407,2.154417163,2.062080419,1,5.223211299,1.957238898,3,FALSE,FALSE,2,6,20.03264909,1.731724737
